Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-27,354.88955622449646,355.22118867471204,353.66054261669643,354.7237548828125,28514100,0.0,0
2020-11-30,353.90445934109636,354.1873337481003,350.3345206236406,353.1534118652344,83872700,0.0,0
2020-12-01,356.57701799545174,358.6350978969765,355.95274764985186,357.01593017578125,74231400,0.0,0
2020-12-02,355.8454893253449,357.93283016440523,355.2407459959615,357.76702880859375,45927000,0.0,0
2020-12-03,357.6597311017072,359.13259489990173,356.50876603256836,357.66949462890625,62882000,0.0,0
2020-12-04,358.28394808590883,360.751708984375,358.1864021290162,360.751708984375,50749900,0.0,0
2020-12-07,359.9421518573226,360.527397899425,358.6741435718091,360.01043701171875,48944300,0.0,0
2020-12-08,358.67413110501417,361.6588530724585,358.62537300605464,361.0638732910156,42458900,0.0,0
2020-12-09,361.75639220025164,361.92219354705986,356.9476768732342,357.8255310058594,74098300,0.0,0
2020-12-10,356.3819060497205,358.8106426116463,355.46502763540985,357.7084655761719,57735400,0.0,0
2020-12-11,355.92347784448697,357.7182103924654,354.3238372162911,357.2890319824219,57698600,0.0,0
2020-12-14,359.5715259241595,360.7029639044014,355.50409419739856,355.6894226074219,69216200,0.0,0
2020-12-15,358.3619793778142,360.49810791015625,356.918406326555,360.49810791015625,63865300,0.0,0
2020-12-16,360.72247729775125,362.02950987846845,359.7958352827264,361.0638732910156,58420500,0.0,0
2020-12-17,362.7903081425001,363.2975054680431,361.92218778319875,363.0829162597656,64119500,0.0,0
2020-12-18,363.3865957239454,363.5629089716262,359.51733005756296,361.6331787109375,136542300,1.58,0
2020-12-21,357.5092119074147,370.7234370798932,354.6293095803261,360.3401184082031,96386700,0.0,0
2020-12-22,360.6829603243901,360.80050247451106,358.54753154724295,359.7327880859375,47949000,0.0,0
2020-12-23,360.75159959843654,362.0642036604339,359.71327056590525,360.0561218261719,46201400,0.0,0
2020-12-24,360.5556417655624,361.48623368440343,359.93854542824675,361.45684814453125,26457900,0.0,0
2020-12-28,364.14084014233856,364.97347032685315,363.4845530971071,364.56207275390625,39000400,0.0,0
2020-12-29,366.1685135320541,366.3546319130273,363.24942040907814,363.8665466308594,53680500,0.0,0
2020-12-30,364.72856289298306,365.4730364180606,363.9743141172349,364.3857116699219,49455300,0.0,0
2020-12-31,364.18001361574005,367.00114498611987,363.6412687596706,366.2370910644531,78520700,0.0,0
2021-01-04,367.63786629677503,367.77501874924553,357.36231368073385,361.25115966796875,110210800,0.0,0
2021-01-05,360.5752743625826,364.88532320830956,360.5262785306088,363.7392272949219,66426200,0.0,0
2021-01-06,362.1523198494023,369.27372446232727,361.5743843123377,365.913818359375,107997700,0.0,0
2021-01-07,368.4116988799843,372.134006606152,368.22558050430274,371.3503723144531,68766800,0.0,0
2021-01-08,372.80993062458424,373.69152673940437,369.39128318330285,373.46624755859375,71677200,0.0,0
2021-01-11,370.1259664374947,372.8001404298983,369.99861912476393,370.94879150390625,51034700,0.0,0
2021-01-12,371.1447021841394,372.0948446366205,368.666392031846,371.0271301269531,52547700,0.0,0
2021-01-13,370.94878647507835,373.0744103943913,370.1259614198216,372.02630615234375,45303600,0.0,0
2021-01-14,372.8099126776959,373.33888227861723,370.3708232355721,370.72344970703125,49989100,0.0,0
2021-01-15,369.01900510917966,369.86141044421294,366.0607513991173,368.0198669433594,107160000,0.0,0
2021-01-19,370.6059463645675,371.47776727764887,369.04845283170323,370.90960693359375,51233300,0.0,0
2021-01-20,373.319280925438,376.9240765622318,372.90788336555545,376.04248046875,61836100,0.0,0
2021-01-21,376.63020441446173,377.0808225683727,375.4155621941014,376.38531494140625,47840100,0.0,0
2021-01-22,374.4360048475189,376.27757847057745,374.03438252387446,375.0531311035156,52860500,0.0,0
2021-01-25,375.8270351517185,376.90452504859326,370.7235163920292,376.5323181152344,70402000,0.0,0
2021-01-26,377.53142863780675,377.9624365222151,375.6996600759392,375.9445495605469,42665300,0.0,0
2021-01-27,372.44748478789506,372.54544655108015,364.4053232557377,366.7562561035156,123351100,0.0,0
2021-01-28,368.6664037377004,374.12254851646645,368.2060402141411,369.91046142578125,94198100,0.0,0
2021-01-29,367.9513754763599,368.97012416426236,360.7418130682051,362.5050354003906,126765100,0.0,0
2021-02-01,366.080393032259,369.62638797752885,362.80867311331565,368.5390930175781,75817600,0.0,0
2021-02-02,371.8891207769841,375.3861493725729,368.6272063861816,373.7502746582031,64450700,0.0,0
2021-02-03,374.6220944611562,375.85634687833704,372.70216950733334,374.0441589355469,52427100,0.0,0
2021-02-04,375.13145812189845,378.34440660782406,374.1617054364117,378.2954406738281,47142600,0.0,0
2021-02-05,380.26436646359224,380.5288363193565,378.24647969928833,379.78436279296875,48669800,0.0,0
2021-02-08,381.31248853492355,382.57612658146763,380.4113120178996,382.52716064453125,38365200,0.0,0
2021-02-09,381.64556001567786,382.89942289447833,381.2145820182606,382.2724914550781,35551100,0.0,0
2021-02-10,384.10423296872193,384.2609658175233,379.57868032436824,382.1059265136719,59154400,0.0,0
